wp_code,Turnout (%)
26002,28.48
26003,26.48
26004,20.16
26005,30.46
26006,20.48
26007,29.81
26008,16.59
26009,21.42
26010,26.82
26011,26.59
26012,24.31
26013,17.43
26014,19.66
26015,16.42
26016,14.48
26017,34.71
26018,15.33
26019,15.82
26020,25.68
26021,22.06
26022,11.84
26023,20.16
26024,21.82
26025,27.20
26026,20.82
26027,26.80
26028,34.77
26029,25.17
26030,29.47
26031,20.66
26032,32.56
26033,25.93
26034,30.04
26035,27.11
26036,15.24
26037,23.66
26038,21.50
26039,26.57
26040,21.56
26041,21.12
26042,23.50
26043,20.84
26044,19.35
26045,15.42
26046,26.32
26047,16.85
26048,23.43
26049,17.76
27001,23.31
27002,30.38
27003,23.53
27004,27.04
27005,21.62
27006,22.64
27007,29.78
27008,20.63
27009,26.86
27010,34.77
27011,23.59
27012,27.16
27013,34.35
27014,18.09
27015,19.93
27016,15.21
27017,25.85
27018,28.81
27019,17.34
27020,22.73
27021,32.85
27022,20.39
27023,30.35
27024,16.38
27025,29.50
27026,32.83
27027,24.00
27028,20.27
27029,18.18
27030,29.16
27031,25.00
27032,27.45
27033,25.98
27034,27.26
27035,25.72
27036,28.95
27037,33.18
27039,37.06
27040,27.67
27041,33.66
27042,33.69
27043,28.93
27044,21.16
27045,19.18
27046,27.68
27047,37.31
27048,21.50
27049,21.71
27050,29.25
28001,19.36
28002,24.06
28003,22.55
28005,31.96
28006,45.00
28007,21.58
28008,23.00
28009,23.51
28010,25.86
28011,23.97
28012,20.74
28013,31.86
28014,24.85
28015,38.64
28016,23.51
28018,34.83
28019,26.57
28020,27.87
28021,24.96
28022,26.45
28023,20.08
28024,23.51
28025,29.39
28026,21.74
28027,36.21
28028,33.38
28029,4.93
28030,29.41
28031,32.82
28032,21.41
28033,23.13
28034,18.02
28035,19.85
28037,15.60
28038,17.92
28039,22.65
28040,23.45
28041,24.91
28042,22.43
28043,23.04
28044,22.39
28046,30.04
29001,39.69
29002,27.37
29003,24.75
29005,22.04
29006,23.56
29007,37.52
29008,18.00
29009,39.07
29010,42.20
29011,31.96
29012,33.74
29013,32.18
29014,32.32
29015,33.53
29016,22.56
29017,27.91
29018,25.83
29019,32.95
29020,26.03
29022,23.54
29023,32.30
29024,30.69
29025,35.42
29026,36.50
29027,31.83
29028,27.91
29029,24.97
29030,40.34
29031,21.15
29032,20.04
29033,39.30
29034,32.01
29035,26.08
29036,33.93
29037,29.99
29038,20.87
29039,24.60
29040,26.28
29041,26.58
29042,27.42
29043,40.66
29044,29.38
30001,29.20
30002,31.56
30003,39.70
30004,30.32
30005,22.14
30006,32.37
30007,33.67
30008,34.34
30009,29.31
30010,30.74
30011,23.11
30012,25.23
30013,32.38
30014,24.42
30015,51.30
30016,30.26
30017,30.80
30018,26.58
30019,21.19
30020,31.39
30021,34.44
30022,28.29
30023,24.09
30024,29.01
30025,27.31
30026,32.38
30027,34.58
30028,34.29
30029,21.57
30030,23.48
30031,41.18
30032,37.67
31001,20.54
31002,24.28
31003,29.39
31004,38.40
31005,34.05
31006,27.39
31007,29.38
31008,22.70
31009,17.31
31010,22.43
31011,26.50
31013,24.12
31014,25.84
31015,26.84
31016,31.63
31017,27.44
31018,22.74
31019,28.87
31020,21.14
31021,28.49
31022,20.00
31023,24.02
31024,33.22
31025,20.86
31026,32.23
31027,25.93
31028,20.42
31029,30.14
31030,21.49
31031,26.74
31032,19.59
31033,24.01
31034,22.77
31035,27.29
31036,33.88
31037,25.08
31038,21.69
31039,24.77
31040,25.87
31041,20.03
32001,27.59
32003,38.13
32004,34.03
32005,33.41
32006,27.13
32007,26.48
32008,25.70
32009,29.07
32010,29.36
32011,37.86
32012,37.58
32014,35.64
32015,30.55
32016,35.38
32017,37.41
32018,30.35
32019,29.90
32020,32.96
32021,41.11
32022,34.85
32023,32.17
32024,22.98
32025,31.95
32026,36.68
32027,29.98
32028,31.74
32029,35.00
32030,32.36
32031,31.28
32032,32.48
32033,32.39
32034,29.52
32035,25.44
32036,31.59
32037,22.99
32038,28.28
32039,34.04
32040,36.75
32041,34.31
32042,24.48
32043,34.02
33001,36.34
33002,34.42
33003,40.31
33004,38.11
33005,32.69
33006,38.08
33007,32.03
33008,58.03
33009,43.36
33010,50.00
33011,44.02
33012,37.71
33013,35.35
33014,28.18
33015,33.00
33016,37.86
33017,37.87
33018,32.54
33019,35.33
33020,40.63
33021,38.36
33022,45.22
33023,47.26
33024,60.79
33025,41.38
33026,35.03
33027,33.79
33028,36.27
34001,37.41
34002,38.96
34003,29.46
34004,21.85
34005,32.32
34006,35.61
34007,40.47
34008,28.44
34009,24.42
34010,32.81
34011,23.64
34012,36.36
34013,32.45
34014,25.80
34015,21.58
34016,27.64
34017,33.48
34018,27.84
34019,29.62
34020,40.42
34021,44.51
34022,43.87
34023,28.78
34024,27.17
34025,33.90
34026,28.18
34027,30.36
34028,22.04
34029,28.68
34030,44.97
34031,26.79
34032,27.84
34033,25.88
34034,37.01
34035,30.33
34036,40.71
34037,22.64
34038,16.20
34039,25.31
34040,30.14
34041,24.78
34042,35.86
34043,38.31
34044,37.41
34045,37.29
34046,37.87
34047,28.42
34048,41.72
34049,39.40
34050,27.39
34051,40.46
34052,42.94
34053,24.33
35001,27.47
35002,42.89
35003,21.29
35004,29.75
35005,26.13
35006,21.26
35007,28.76
35008,26.52
35010,32.98
35011,26.53
35012,15.05
35013,12.41
35014,20.29
35015,26.23
35016,13.69
35017,30.11
35018,17.98
35019,14.96
35020,23.75
35021,26.23
35022,25.26
35023,30.85
35024,28.41
35025,29.11
35026,28.55
35027,24.37
35028,29.56
35029,19.04
35030,20.32
35031,31.59
36001,22.49
36002,19.46
36003,23.99
36004,16.56
36005,17.30
36006,18.06
36007,34.46
36008,17.83
36009,13.75
36010,24.23
36011,18.44
36012,11.33
36013,17.77
36014,29.63
36015,25.00
36016,27.16
36017,29.99
36018,29.29
36019,20.83
36020,25.23
36021,16.10
36022,16.65
36023,14.91
36024,19.36
36025,15.48
36026,24.36
36027,23.44
36028,22.10
36029,26.50
36030,22.17
37001,14.64
37002,16.69
37003,18.43
37004,18.58
37005,31.42
37006,26.95
37007,21.08
37008,17.67
37010,23.31
37011,19.57
37013,18.34
37014,23.32
37015,25.33
37016,25.03
37017,23.65
37018,25.63
37019,14.30
37020,17.86
37021,20.84
37023,27.14
37024,27.07
37025,25.41
37026,31.91
37027,25.80
37028,20.26
37029,26.71
37030,21.83
37031,23.46
37032,25.89
37033,28.41
37034,25.10
37035,30.58
37036,22.41
37037,22.45
37038,29.82
37039,24.97
37040,33.07
37041,25.90
38001,27.28
38002,42.18
38003,22.32
38004,29.18
38005,26.15
38006,22.26
38007,28.31
38008,26.56
38009,32.00
38010,23.72
38011,26.96
38012,27.59
38013,29.20
38014,30.22
38016,33.83
38017,33.16
38018,31.27
38019,28.84
38020,29.87
38021,24.04
38022,32.41
38023,33.38
38024,31.50
38025,24.51
38026,27.17
38027,24.20
38028,32.12
38029,22.29
38030,25.03
38031,35.17
38032,23.61
38033,24.79
38034,31.43
38035,28.66
38036,27.58
38037,29.31
38038,29.31
38039,33.02
38040,30.87
38041,39.14
39001,47.69
39002,48.21
39003,39.37
39004,48.96
39005,36.81
39006,29.39
39007,39.57
39008,36.73
39009,32.22
39010,45.60
39011,39.13
39012,27.56
39013,27.17
39014,36.56
39015,40.19
39016,18.14
39017,46.62
39018,37.12
39019,40.50
39020,42.46
39021,37.74
39022,24.63
39023,47.84
39024,49.43
39025,22.39
39026,39.59
39027,54.95
39028,45.19
39029,18.73
39030,35.92
39031,29.70
39032,30.77
39033,33.44
39034,27.90
39035,36.07
39036,23.24
39037,54.62
39038,53.64
39039,48.81
39040,40.56
39041,49.80
39042,55.33
39043,44.75
39044,53.56
40001,34.22
40002,37.02
40003,44.50
40004,41.34
40005,46.26
40006,47.93
40007,51.51
40008,47.28
40009,33.94
40010,28.37
40011,48.74
40012,44.20
40013,47.41
40014,26.65
40015,34.93
40016,53.80
40017,47.03
40018,23.96
40019,38.17
40020,32.54
40021,50.75
40022,43.95
40023,52.50
40024,29.50
40025,52.25
40026,50.53
40027,39.17
40028,43.41
40029,47.58
40030,58.19
40031,50.37
40032,53.23
40033,58.21
40034,34.34
40035,23.32
40036,51.75
40037,32.88
40038,46.07
40039,19.01
41001,37.31
41003,40.72
41005,34.26
41006,47.98
41007,44.91
41008,46.32
41009,38.61
41010,53.97
41011,38.68
41012,34.01
41013,41.66
41014,50.00
41015,43.70
41016,40.16
41017,44.79
41018,41.78
41019,45.32
41021,40.81
41022,45.22
41023,32.77
41024,33.84
41025,12.21
41026,39.66
41027,20.74
41028,19.48
41029,14.92
41030,38.69
41031,53.86
41032,38.32
41033,38.42
41034,41.97
41035,46.67
41036,43.90
41037,40.39
41038,35.32
41039,43.00
41040,42.28
41041,42.41
41042,40.34
41043,40.22
41044,44.98
41045,34.93
41046,41.90
41047,39.73
42001,42.99
42002,23.93
42003,26.12
42004,22.25
42005,26.95
42006,52.62
42007,34.10
42008,39.16
42009,22.10
42010,24.09
42011,43.47
42012,40.94
42013,56.70
42014,21.58
42015,22.28
42016,30.19
42017,24.66
42018,17.30
42019,35.05
42020,21.97
42021,23.69
42022,26.92
42023,29.12
42024,37.32
42025,28.67
42026,24.55
42027,41.49
42028,42.63
42029,29.46
42030,53.06
42031,28.57
42032,22.65
42033,29.22
42034,37.41
42035,28.83
42036,19.88
42037,26.74
42038,30.17
42039,19.15
42040,25.87
42041,26.71
42042,23.61
43001,47.92
43002,40.43
43003,39.64
43004,26.64
43005,40.49
43006,29.84
43007,41.43
43008,38.38
43009,41.73
43010,41.94
43011,29.04
43012,37.94
43013,39.40
43014,52.45
43015,36.07
43017,37.19
43018,37.40
43019,40.04
43020,37.47
43021,29.81
43022,34.13
43023,30.96
43024,34.87
43025,48.81
43026,53.36
43027,43.00
43028,33.62
43029,39.32
43030,35.35
43031,38.76
43032,39.20
43033,43.81
43034,46.40
43035,39.78
43036,23.35
43037,26.20
43038,43.30
43039,23.23
43040,29.80
43041,37.73
43042,31.62
43043,43.58
43044,35.71
43045,49.49
43046,31.03
44001,37.56
44002,35.33
44003,60.49
44004,37.33
44005,31.07
44006,35.91
44008,31.08
44009,32.27
44010,26.40
44011,32.58
44012,40.65
44013,27.36
44014,28.12
44015,36.37
44016,32.99
44017,39.43
44018,22.37
44019,38.09
44020,23.73
44021,29.14
44022,43.62
44023,26.64
44024,48.37
44025,33.79
44026,35.88
44027,34.68
44028,27.78
44029,29.06
44030,34.12
44031,27.69
44032,33.33
44033,31.81
44034,38.65
44035,43.32
44036,31.32
44037,38.19
44038,26.40
44039,30.69
44040,33.33
44041,29.52
45001,39.55
45002,35.11
45003,39.40
45004,41.80
45005,42.66
45006,45.24
45007,36.30
45008,28.78
45009,29.80
45010,30.76
45011,26.92
45012,31.57
45013,38.67
45015,40.88
45016,37.92
45017,31.69
45018,28.63
45019,24.10
45020,26.26
45021,34.38
45023,31.28
45024,34.58
45025,37.42
45026,32.82
45027,33.64
45028,31.09
45029,28.26
45030,32.49
45031,31.83
45032,29.66
45033,34.77
45034,33.09
45035,44.14
45036,40.08
45037,32.62
45038,30.34
45039,30.08
45040,35.54
45041,35.51
45043,38.34
45044,44.13
45045,36.07
45046,31.33
45047,35.99
45048,37.48
46001,39.69
46002,38.51
46003,47.24
46004,45.57
46005,29.74
46006,35.43
46007,53.97
46008,33.87
46009,40.34
46010,29.71
46011,30.95
46012,44.07
46013,36.97
46014,27.75
46015,36.27
46016,44.11
46017,42.46
46018,41.80
46019,53.38
46020,35.69
46021,29.47
46022,35.70
46023,37.00
46024,43.59
46025,43.22
46026,35.91
46027,41.78
46028,53.59
46029,41.66
46030,37.85
46031,37.05
46032,42.08
46033,45.66
46034,31.71
46035,36.16
46036,48.70
46037,30.56
46038,27.31
46039,40.97
46040,45.08
47001,38.10
47002,54.27
47003,58.28
47004,47.17
47006,38.00
47007,38.90
47008,53.82
47009,37.62
47010,43.81
47011,36.66
47012,54.36
47013,45.25
47014,54.86
47015,41.67
47016,52.04
47017,46.02
47018,42.43
47019,45.53
47020,48.68
47021,45.81
47022,53.67
47023,49.60
47024,43.87
47025,38.15
47026,39.60
47027,43.53
47028,52.15
47029,44.24
47030,48.17
47031,43.57
47032,48.09
47033,42.36
47034,50.31
47035,49.88
47036,45.73
47037,52.82
47038,47.88
47039,47.19
47040,56.02
47041,46.02
47042,48.40
47043,47.88
47044,33.22
47045,51.01
47046,47.41
47047,46.33
47048,49.43
48001,43.52
48002,56.63
48003,33.33
48004,37.74
48005,62.86
48006,34.00
48007,42.25
48008,45.76
48009,42.27
48010,54.59
48011,53.58
48012,45.29
48013,47.69
48014,49.41
48015,29.32
48016,33.66
48017,43.62
48018,36.23
48019,51.15
48020,46.47
48021,36.06
48022,58.43
48023,47.32
48024,32.62
48025,56.94
48026,31.58
48027,21.25
48028,34.40
48030,51.77
48031,29.40
48032,36.56
48033,60.00
48034,47.55
48035,24.36
48036,58.75
48037,39.79
48038,55.95
48039,48.95
48040,49.60
48041,33.94
48042,42.00
48043,38.40
48044,46.18
48045,45.75
48046,41.47
49001,23.94
49002,34.48
49003,36.25
49004,35.22
49005,40.10
49006,34.47
49007,33.25
49008,32.63
49009,32.10
49010,35.28
49011,33.80
49012,39.35
49013,37.18
49014,34.39
49015,29.51
49016,30.09
49018,38.78
49019,27.24
49020,39.34
49021,27.87
49022,33.70
49023,34.21
49024,26.44
49025,37.78
49026,36.41
49027,29.78
49028,36.69
49029,35.93
49031,35.36
49032,31.39
49033,32.15
50001,32.51
50002,28.72
50003,35.12
50004,27.76
50005,26.64
50006,28.89
50007,44.53
50008,28.17
50009,28.43
50010,17.05
50011,27.09
50012,31.80
50013,21.33
50014,38.13
50015,46.44
50016,36.48
50017,16.90
50018,38.79
50020,28.41
50021,29.17
50022,19.52
50023,21.95
50024,24.69
50025,26.93
50026,17.57
50027,32.59
50028,23.89
50029,14.85
50030,20.68
50031,20.04
50032,22.15
50033,35.82
50034,38.30
50035,35.23
50036,30.60
50037,36.13
50038,46.21
50039,17.69
50040,24.62
